,batch_size,conv,dense,drop,epochs,learning_rate,run_id,runtime_hours,training_loss,validation_loss
24,16,"[32, 20, 16, 32, 10, 1]","[500, 100, 50]",0.1,4,0.005,4024,0.0414472141667,0.691915413312,0.691984789712
25,16,"[50, 50, 50, 50, 50, 1]","[500, 100, 50]",0.1,4,0.01,4025,0.52626619,0.68827506985,0.687166438784
26,16,"[25, 25, 25, 25, 25, 1]","[500, 100, 50]",0.1,4,0.01,4026,0.0449342461111,0.688542521,0.687577366829
27,16,"[64, 32, 16, 32, 64, 1]","[500, 100, 50]",0.1,4,0.01,4027,0.139994316944,0.682127340351,0.679329460008
28,16,"[100, 100, 100, 100, 100, 1]","[500, 100, 50]",0.1,4,0.01,4028,0.0575828455556,0.674365076848,0.669565449442
29,16,"[32, 20, 16, 32, 10, 1]","[500, 100, 50]",0.1,4,0.01,4029,0.0161743280556,0.690930251564,0.692189148494
30,16,"[50, 50, 50, 50, 50, 1]","[500, 100, 50]",0.1,4,0.02,4030,0.580786788056,0.677771913154,0.671625605651
31,16,"[25, 25, 25, 25, 25, 1]","[500, 100, 50]",0.1,4,0.02,4031,0.0440579444444,0.683196793284,0.683260512352
32,16,"[64, 32, 16, 32, 64, 1]","[500, 100, 50]",0.1,4,0.02,4032,0.246430554444,0.669208812714,0.656980041095
33,16,"[100, 100, 100, 100, 100, 1]","[500, 100, 50]",0.1,4,0.02,4033,0.264538941944,0.627332162006,0.597533217498
34,16,"[32, 20, 16, 32, 10, 1]","[500, 100, 50]",0.1,4,0.02,4034,0.0491290141667,0.689754298755,0.687344801426
35,16,"[50, 50, 50, 50, 50, 1]","[500, 100, 50]",0.1,4,0.05,4035,0.0885603102778,0.663546546868,0.634156302043
36,16,"[25, 25, 25, 25, 25, 1]","[500, 100, 50]",0.1,4,0.05,4036,0.0462258188889,0.681529929808,0.671171133859
37,16,"[64, 32, 16, 32, 64, 1]","[500, 100, 50]",0.1,4,0.05,4037,0.529120004722,0.670893324273,0.647070155825
38,16,"[100, 100, 100, 100, 100, 1]","[500, 100, 50]",0.1,4,0.05,4038,1.41956008139,0.665169434888,0.623183223179
39,16,"[32, 20, 16, 32, 10, 1]","[500, 100, 50]",0.1,4,0.05,4039,0.0162544291667,0.692764053174,0.692897108623
40,16,"[50, 50, 50, 50, 50, 1]","[500, 100, 50]",0.2,4,0.005,4040,0.0265366613889,0.691034008775,0.69056201492
41,16,"[25, 25, 25, 25, 25, 1]","[500, 100, 50]",0.2,4,0.005,4041,0.0152810466667,0.690882523571,0.690611185346
42,16,"[64, 32, 16, 32, 64, 1]","[500, 100, 50]",0.2,4,0.005,4042,0.0813985916667,0.68824981451,0.686669012478
43,16,"[100, 100, 100, 100, 100, 1]","[500, 100, 50]",0.2,4,0.005,4043,0.0571934613889,0.688982256821,0.687547137056
44,16,"[32, 20, 16, 32, 10, 1]","[500, 100, 50]",0.2,4,0.005,4044,0.0163334891667,0.691966500453,0.691524325098
