drop,optimizer,warmup_lr,activation,residual,batch_size,epochs,dense,latent_dim,reduce_lr,model,learning_rate,run_id,training_loss,validation_loss,runtime_hours,run_id,training_loss,validation_loss,runtime_hours
0.6711,adam,1,sigmoid,1,1024,104,"[978, 978, 978, 978, 978, 978]",2,0,ae,0.0281,360_1_49,0.19678609642717573,0.19654156267642975,0.010164756111111112,360_1_49,0.19678609642717573,0.19654156267642975,0.010164756111111112
0.7693,sgd,0,sigmoid,0,128,136,"[978, 978, 978]",128,0,vae,0.0019,360_2_338,0.9622803610342521,0.7081412728627523,0.01831398861111111,360_2_338,0.9622803610342521,0.7081412728627523,0.01831398861111111
0.7871,sgd,0,relu,0,128,169,"[978, 978, 978]",2,0,vae,0.0069,360_2_132,0.6954518251065854,0.6927459772427876,0.022780249444444445,360_2_132,0.6954518251065854,0.6927459772427876,0.022780249444444445
0.5183,rmsprop,1,relu,0,256,112,"[978, 978, 978, 978, 978, 978]",32,0,vae,0.0202,360_5_245,nan,nan,0.017543591388888887,360_5_245,nan,nan,0.017543591388888887
0.8426,adam,1,tanh,1,64,134,"[978, 978, 978, 978, 978, 978]",128,0,vae,0.0862,360_1_71,nan,nan,0.06020344166666667,360_1_71,nan,nan,0.06020344166666667
0.5711,sgd,1,relu,1,1024,103,"[978, 978, 978, 978, 978, 978]",32,0,vae,0.0309,360_3_192,nan,nan,0.009426953055555555,360_3_192,nan,nan,0.009426953055555555
0.899,sgd,0,sigmoid,0,256,126,"[978, 978, 978]",128,1,vae,0.0087,360_2_300,1.2428726500051992,0.7197871128718059,0.01222340611111111,360_2_300,1.2428726500051992,0.7197871128718059,0.01222340611111111
0.6125,adam,0,relu,1,32,136,"[978, 978, 978, 978]",32,1,vae,0.0771,360_1_105,nan,nan,0.08580771888888888,360_1_105,nan,nan,0.08580771888888888
0.7694,sgd,0,tanh,0,32,120,"[978, 978, 978]",128,0,vae,0.0611,360_2_56,0.8231494290740402,0.6806453156471253,0.04524937444444445,360_2_56,0.8231494290740402,0.6806453156471253,0.04524937444444445
0.2359,adam,0,relu,1,32,172,"[978, 978, 978, 978]",32,1,ae,0.0167,360_1_337,0.2326330711664977,0.23295713702837625,0.09664690638888888,360_1_337,0.2326330711664977,0.23295713702837625,0.09664690638888888
0.2972,rmsprop,0,sigmoid,0,256,120,"[978, 978, 978, 978, 978, 978]",128,0,vae,0.0201,360_5_41,1.4204294374254014,1.3824264001846314,0.018840808888888887,360_5_41,1.4204294374254014,1.3824264001846314,0.018840808888888887
0.4269,sgd,0,relu,0,128,101,"[978, 978]",2,1,vae,0.0668,360_1_85,0.6902953690069693,0.6898621129989624,0.011865924166666666,360_1_85,0.6902953690069693,0.6898621129989624,0.011865924166666666
0.0315,rmsprop,1,relu,0,1024,103,"[978, 978, 978, 978, 978]",128,0,vae,0.0402,360_3_354,nan,nan,0.009211055555555554,360_3_354,nan,nan,0.009211055555555554
0.8493,adam,0,relu,0,1024,101,"[978, 978]",8,0,vae,0.0176,360_3_166,0.7446774856249492,0.6716505289077759,0.006261185833333333,360_3_166,0.7446774856249492,0.6716505289077759,0.006261185833333333
0.4973,rmsprop,0,tanh,0,64,122,"[978, 978]",128,0,vae,0.0248,360_4_211,nan,nan,0.0261151475,360_4_211,nan,nan,0.0261151475
0.4514,rmsprop,0,relu,0,1024,103,"[978, 978, 978, 978, 978, 978]",128,0,vae,0.0619,360_3_159,nan,nan,0.0100640575,360_3_159,nan,nan,0.0100640575
0.7696,sgd,0,relu,0,128,185,"[978, 978, 978]",512,1,vae,0.009,360_2_9,0.8938395364196212,0.692271752357483,0.026035209166666667,360_2_9,0.8938395364196212,0.692271752357483,0.026035209166666667
0.7825,sgd,1,sigmoid,1,512,146,"[978, 978, 978, 978, 978, 978]",32,1,vae,0.0866,360_1_308,nan,nan,0.015670642222222222,360_1_308,nan,nan,0.015670642222222222
0.8977,sgd,0,relu,0,128,122,"[978, 978, 978]",512,0,vae,0.0582,360_2_69,nan,nan,0.01708613527777778,360_2_69,nan,nan,0.01708613527777778
0.7696,rmsprop,0,sigmoid,0,128,119,"[978, 978, 978]",512,0,vae,0.0091,360_2_94,0.6714919413460626,0.6713806653022766,0.01919031694444444,360_2_94,0.6714919413460626,0.6713806653022766,0.01919031694444444
0.7241,adam,0,tanh,0,64,169,"[978, 978, 978, 978, 978, 978]",8,0,vae,0.0457,360_5_83,nan,nan,0.07099968111111112,360_5_83,nan,nan,0.07099968111111112
0.347,rmsprop,0,sigmoid,0,256,120,"[978, 978, 978, 978, 978, 978]",128,0,vae,0.0218,360_5_273,1.4018473981927941,1.3697518396377564,0.018760460555555553,360_5_273,1.4018473981927941,1.3697518396377564,0.018760460555555553
0.7242,adam,0,relu,0,64,105,"[978, 978, 978]",128,1,ae,0.0955,360_1_47,0.21330074588457743,0.21102754652500152,0.026595226944444446,360_1_47,0.21330074588457743,0.21102754652500152,0.026595226944444446
0.7842,sgd,0,tanh,1,256,120,"[978, 978, 978]",512,0,vae,0.0084,360_2_104,nan,nan,0.01224192138888889,360_2_104,nan,nan,0.01224192138888889
